Autor;País;Nacimiento;Defunción;Cuentos
Sinán, Rogelio;Panamá;1902;1994;A la orilla de las estatuas maduras, La boina roja
Soto, Pedro Juan;Puerto Rico;1928;2002;Campeones, Los inocentes
Tapia y Rivera, Alejandro;Puerto Rico;1826;1882;La Palma del Cacique
Torri, Julio;México;1889;1970;A Circe, De funerales, De fusilamientos, De la vida maravillosa de Salva-Obstáculos, El descubridor, El fin de México, El héroe, El mal actor de sus emociones, El vagabundo, Era un país pobre, Estampa, Fantasías mexicanas, La amada desconocida, La balada de las hojas más altas, La cocinera, La conquista de la luna, La feria, La gloriosa, La humildad premiada, Le poète maudit, Literatura, Los unicornios, Mujeres, Vieja estampa
Trigo, Felipe;España;1864;1916;El oro inglés, El recuerdo, El suceso del día, Genio y figura, Jugar con el fuego, La niña mimosa, La primera conquista, La receta, La toga, Luzbel, Mi prima me odia, Mujeres prácticas, Paga anticipada, Paraíso perdido, Por ahí, Pruebas de amor, Tempestad, Tu llanto y mi risa, Villaporrilla
Unamuno, Miguel de;España;1864;1936;Cruce de caminos, El contertulio, El misterio inicial de mi vida, En manos de la cocinera, Historia de V. Goti, La venda, San Manuel Bueno, mártir - Novela corta, Ver con los ojos, Y va de cuento
Úslar Pietri, Arturo;Venezuela;1906;2001;Barrabás, El gallo, La lluvia
Valadés, Edmundo;México;1915;1994;Estuvo en la guerra, Final, La búsqueda, La incrédula, La marioneta, La muerte tiene permiso, Memoria, Pobreza, ¿Por qué?, Sueño
Valera, Juan;España;1824;1905;El caballero de Azor, El cocinero del arzobispo, El doble sacrificio, El pescadorcito Urashima
Valle Inclán, Ramón del;España;1866;1936;El miedo, ¡Malpocado!, Santa Baya de Cristamilde
Viana, Javier de;Uruguay;1868;1926;Los amores de Bentos Sagrera
Walsh, Rodolfo;Argentina;1927;1977;Cuentos para tahúres, Esa mujer, Ese hombre, Fotos, Los nutrieros, Portugueses
Wilcock, Juan Rodolfo;Argentina;1919;1978;Agrimensor Bene Nio, Capitán Luiso Ferrauto, El ángel, Giocoso Spelli, Graziella Link, Ilio Collio, La Atlántida, Las muñecas, Los amantes, Los donguis
Zayas, María de;España;1590;1661;Aventurarse perdiendo, El castigo de la miseria, El jardín engañoso, Estragos que causa el vicio, La esclava de su amante, La inocencia castigada
Zorrilla, José;España;1817;1893;La mujer negra o una antigua capilla de templario, ¿Y aquel entierro que pasa?
