Autor;País;Nacimiento;Defunción;Cuentos
Bosch, Juan;República Dominicana;1909;2001;Dos pesos de agua, En un bohío, La bella alma de don Damián, La mancha indeleble, La mujer, La Nochebuena de Encarnación Mendoza, Los amos, Luis Pie
Caballero, Fernán;España;1796;1877;Bella Flor, Benibaire, Cómo le gusta al Niño Dios que le pidan, Cuento de bruja, El Carlanco, El lirio azul, El lobo bobo y la zorra astuta, El pícaro pajarillo, La hormiguita, La niña de los tres maridos, La tentación, La Virgen costurera, Los caballeros del pez, Los deseos, Los dos caminitos, Otra versión del Carlanco, Señor, aquí está Juan, Si Dios quiere, Una promesa
Cáceres Lara, Víctor;Honduras;1915;1993;Paludismo
Camacho, Juan Vicente;Venezuela;1829;1872;Confesión auténtica de un ahorcado resucitado
Carpentier, Alejo;Cuba;1904;1980;El entierro de Henri Christophe, Los advertidos, Semejante a la noche, Viaje a la semilla
Carrasquilla, Tomás;Colombia;1858;1940;San Antoñito
Carrington, Leonora;México;1917;2011;Los conejos blancos
Cela, Camilo José;España;1916;2002;La eterna canción, Olor a cebolla, Pequeña parábola de “Chindo” perro de ciego
Cernuda, Luis;España;1902;1963;Pregones
Cervantes, Miguel de;España;1547;1616;El amante liberal, El casamiento engañoso, El celoso extremeño, El coloquio de los perros, El curioso impertinente, El enamorado portugués, El licenciado Vidriera, La española inglesa, La fuerza de la sangre, La gitanilla, La ilustre fregona, La pastora Marcela, Rinconete y Cortadillo, Rutilio da cuenta de su vida
Chacel, Rosa;España;1898;1994;La última batalla
Coll, Pedro Emilio;Venezuela;1872;1947;El diente roto
Coloane, Francisco;Chile;1910;2002;Cinco marineros y un ataúd verde, Galope de esqueletos, La botella de caña vacía, Viven porque están muertos
Congrains Martín, Enrique;Perú;1932;2009;El niño de Junto al Cielo
Conti, Haroldo;Argentina;1925;1976;Los caminos, Muerte de un hermano, Perdido
Cortázar, Julio;Argentina;1914;1984;"Almuerzos, Amor 77, Axolotl, Carta a una señorita en París, Cartas de mamá, Casa tomada, Circe, Cóndor y cronopio, Conducta en los velorios, Conservación de los recuerdos, Continuidad de los parques, Después del almuerzo, El diario a diario, En un vaso de agua fría o preferentemente tibia, Epígrafe de ""Rayuela"", Historia verídica, Instrucciones para cantar, Instrucciones para llorar, Instrucciones para subir una escalera, La autopista del sur, La isla a mediodía, La noche boca arriba, La señorita Cora, Las líneas de la mano, Las ménades, Lejana, Los testigos, Página asesina, Patio de tarde, Por escrito gallina una, Rayuela: Capítulo 68, Secuencias, Tema para un tapiz, Teoría del cangrejo, Todos los fuegos el fuego, Una flor amarilla, Vialidad"
d'Halmar, Augusto;Chile;1882;1950;En provincia
Dabove, Santiago;Argentina;1889;1951;El tren, Ser polvo
Darío, Rubén;Nicaragua;1867;1916;"Aguafuerte, Amar hasta fracasar (solo la vocal ""a""), Cuento de Nochebuena, El caso de la señorita Amelia, El nacimiento de la col, El pájaro azul, El rey burgués, El rubí, El sátiro sordo, El velo de la reina Mab, Huitzilopoxtli, La extraña muerte de fray Pedro, La larva"
Delibes, Miguel;España;1920;2010;El amor propio de Juanito Osuna, El otro hombre, El pueblo en la cara, La mortaja, Navidad sin ambiente
Denevi, Marco;Argentina;1922;1998;A la salida del Infierno, Adán y Eva, Catequesis, Crueldad de Cervantes, Cuento de horror, Cuento policial, Desastroso fin de los tres Reyes Magos, Descenso a los infiernos de la imaginación, Dulcinea del Toboso, El amor es crédulo, El diablo, El emperador de China, El eterno militar, El maestro traicionado, El nunca correspondido amor de los fuertes por los débiles, El peligro amarillo, El precursor de Cervantes, El ruiseñor, El trabajo N° 13 de Hércules, Epidemia de Dulcineas en el Toboso, Esquina peligrosa, Génesis, Génesis, 2, Historia fantástica, In paradisum, Justificación de la mujer de Putifar, La anunciación al traidor, La bella durmiente del bosque y el príncipe, La cicatriz, La hormiga, La inmolación por la belleza, La memoria, esa incomodidad, La mujer ideal no existe, La mujer ideal para el perfecto machista, La reina virgen, La soledad, La virginidad escasea, Las vírgenes prudentes, Los animales en el arca, Los ardides de la impotencia, Los silencios de Lanzarote y Ginebra, Otra versión, Pensamientos del señor Perogrullo, Proposición sobre las verdaderas causas de la locura de don Quijote, Realismo femenino, Schehrasad en la noche 1002, Silencio de sirenas, The male animal, Una impostura del señor Perogrullo, Verídica crónica de Juana la Loca y de Felipe el Hermoso, “Veritas odium parit”
Díaz Alfaro, Abelardo;Puerto Rico;1919;1999;El Josco, Santa Clo va a La Cuchilla
Díaz Grullón, Virgilio;República Dominicana;1924;2001;Caín, Catatónico, Edipo, El maleficio, La enemiga, La rebelión
Díaz Rodríguez, Manuel;Venezuela;1871;1927;Cuento áureo
Díaz Valcárcel, Emilio;Puerto Rico;1929;2015;El asedio, El regreso, La muchacha del tiempo
Dieste, Rafael;España;1899;1981;Acerca de la muerte de Bieito, El niño suicida, El regreso
Donoso, José;Chile;1924;1997;China, La invención de Ramón, La puerta cerrada, Una señora
Echeverría, Esteban;Argentina;1805;1851;El matadero
Edwards, José;Chile;1910;1970;El acto libre, El barbazul delicado, El masoquista
Emar, Juan;Chile;1893;1964;El vicio del alcohol
Fernández, Macedonio;Argentina;1874;1952;Artificios, Un paciente en disminución
Fernández Flórez, Wenceslao;España;1885;1964;La fraga de Cecebre
Fernández Santos, Jesús;España;1926;1988;Cabeza rapada
Fuentes, Carlos;México;1928;2012;Chac Mool, El que inventó la pólvora, La muñeca reina, Una zona sagrada
Gallegos, Rómulo;Venezuela;1884;1969;El crepúsculo del diablo, El paréntesis, El piano viejo
García Lorca, Federico;España;1898;1936;Amantes asesinados por una perdiz, Degollación de los inocentes, Historia de este gallo, La gallina, Nadadora sumergida, Santa Lucía y san Lázaro, Suicidio en Alejandría
García Márquez, Gabriel;Colombia;1927;2014;Algo muy grave va a suceder en este pueblo, El cuento del gallo capón, El drama del desencantado, El rastro de tu sangre en la nieve, El visitante, Espantos de agosto, La fotogenia del fantasma, La luz es como el agua, La muerte en Samarra, La prodigiosa tarde de Baltazar, La santa, Ladrón de sábado, Los cinco cuentos cortos más bellos del mundo: I, Los cinco cuentos cortos más bellos del mundo: II, Los cinco cuentos cortos más bellos del mundo: III, Los cinco cuentos cortos más bellos del mundo: IV, Los cinco cuentos cortos más bellos del mundo: V, Piensa en nosotros, Retinoblastoma, Solo vine a hablar por teléfono, Un día de estos, Un niño como yo, Un señor muy viejo con unas alas enormes
Garmendia, Julio;Venezuela;1898;1977;El alma, El difunto y yo, El pequeño nazareno, La tienda de muñecos
Garmendia, Salvador;Venezuela;1928;2001;Asunto de familia, Cosas de la muerte, Difuntos y volátiles, El turpial que vivió dos veces, Pájaros otoñales
Garro, Elena;México;1916;1998;El anillo, El Duende, La culpa es de los tlaxcaltecas, Las cuatro moscas, ¿Qué hora es?, Teología
Gómez de la Serna, Ramón;España;1888;1963;Aparición del tritón, Aquella muerta, Brujería del gato, Diez millones de automóviles, El burro zancón, El desterrado, El día 32, El disfraz inaudito, El extraño panadero, El fanático de Dios, El gato que vuela, El hielo, El ilusionista, El lector de reojo, El negro condenado a muerte, El perro, El pez, El que se los comió, El que veía en la obscuridad, El sueño del violinista, El sueño y la muerte, Él y él mismo, ¡Ese soy yo!, Invención del Carnaval, La amante de Santiago, La cleptómana de cucharillas, La estatua inesperada, La mano, La mano de mármol, La vuelta del otro, Las estrellas, Las jaurías de la luna, Las negruras de Rembrandt, El sentenciado a diez muertes, Los campanarios, Los senos cuyo valor desconoce el dueño, Los senos de verdadero Sèvres, Metamorfosis, Navidad, No hay que pervertir los números, Peor que el infierno, Récord de viajero de avión, Revolución, Sabe a mariposa, Seis barbas de besugo, Senos. Las criadas, Senos. Senos de viuda, Traspaso de los sueños, Un duelo, Verdadera falsa muerte de Calígula, Yo vi matar a aquella mujer
González, José Luis;Puerto Rico;1926;1996;El ausente, El escritor, En el fondo del caño hay un negrito, La carta, La noche que volvimos a ser gente, Miedo, Una caja de plomo que no se podía abrir
González Zeledón, Manuel;Costa Rica;1864;1936;El clis de sol
Gudiño Kieffer, Eduardo;Argentina;1935;2002;Azogue, Casa di Amore e Psyche, De donde Juan Eduardo Martini..., El rulo, Gallina, La nochebuena de Maritornes, Recomendaciones a Sebastián para la compra de un espejo, Vaca
Güiraldes, Ricardo;Argentina;1886;1927;Diálogos y palabras, El pozo, Nocturno, Politiquería, Telesforo Altamira, Trenzador
Gutiérrez Nájera, Manuel;México;1859;1895;Después de las carreras
Guzmán, Martín Luis;México;1887;1976;La fiesta de las balas
Guzmán, Augusto;Bolivia;1903;1994;El tapado
Hernández, Felisberto;Uruguay;1902;1963;"El acomodador, El balcón, El cocodrilo, El corazón verde, El vestido blanco, Elsa, En gira con Yamandú Rodríguez, La casa inundada, La mujer parecida a mí, La pelota, Menos Julia, Mi primer concierto, Muebles ""El Canario"", Mur, Nadie encendía las lámparas"
Hernández, Efrén;México;1904;1958;Un clavito en el aire
Huidobro, Vicente;Chile;1893;1948;La hija del guardaagujas, La joven del abrigo largo, Tragedia
Jaimes Freyre, Ricardo;Bolivia;1868;1933;Justicia india
Jardiel Poncela, Enrique;España;1901;1952;"El amor que no podía ocultarse, El amor tomado del natural, El chofer nuevo (sin la letra ""a""), La mujer-gato, La silla del Imperio, Los vecinos del principal derecha, Un marido sin vocación (sin la letra ""e"")"
Jiménez, Juan Ramón;España;1881;1958;¡Abrió los ojos!, Cuentos largos, El rayito de sol, El recto, La violetilla
Juan Manuel;España;1282;1348;
Lastarria, José Victorino;Chile;1817;1888;Rosa
Lezama Lima, José;Cuba;1910;1976;Cangrejos, golondrinas, Invocación para desorejarse, Para un final presto
Lillo, Baldomero;Chile;1867;1923;Cambiadores, Cañuela y Petaca, El ahogado, El alma de la máquina, El Chiflón del Diablo, El grisú, El hallazgo, El perfil, El pozo, El rapto del sol, El registro, El remolque, El vagabundo, En la rueda, Inamible, Irredención, Juan Fariña, La compuerta número 12, La cruz de Salomón, La mano pegada, Las nieves eternas, Los inválidos, Quilapán, Sub sole, Víspera de difuntos
López Portillo y Rojas, José;México;1850;1923;Reloj sin dueño
López y Fuentes, Gregorio;México;1897;1966;El burro canelo, Noble campaña, Una carta a Dios, Uno a media calle
Lugones, Leopoldo;Argentina;1874;1938;Abuela Julieta, El descubrimiento de la circunsferencia, El escuerzo, El espíritu nuevo, El hombre muerto, Francesca, La dicha de vivir, La estatua de sal, La lluvia de fuego, Los caballos de Abdera, Un fenómeno inexplicable, Yzur
Lyra, Carmen;Costa Rica;1887;1949;La suegra del diablo
Mallea, Eduardo;Argentina;1903;1982;Conversación
Marqués, René;Puerto Rico;1919;1979;En la popa hay un cuerpo reclinado, En una ciudad llamada San Juan, Purificación en la calle del Cristo
Martínez Ruiz, José (Azorín);España;1873;1967;La prehistoria, Las sirenas, Una elegía
