Autor;País;Nacimiento;Defunción
Hardy, Thomas;Inglaterra;1840;1928
Harte, Francis Bret;Estados Unidos;1836;1902
Hawthorne, Nathaniel;Estados Unidos;1804;1864
Hearn, Lafcadio;Grecia;1850;1904
Hemingway, Ernest;Estados Unidos;1899;1961
Henry, O.;Estados Unidos;1862;1910
Hernández, Felisberto;Uruguay;1902;1963
Hernández, Efrén;México;1904;1958
Hesse, Hermann;Germano-Suizo;1877;1962
Highsmith, Patricia;Estados Unidos;1921;1995
Hoffmann, E.T.A.;Prusia;1776;1822
Hugo, Víctor;Francia;1802;1885
Huidobro, Vicente;Chile;1893;1948
Huysmans, Joris-Karl;Francia;1848;1907
Irving, Washington;Estados Unidos;1783;1859
Jackson, Shirley;Estados Unidos;1916;1965
Jacobs, W.W.;Inglaterra;1863;1943
Jaimes Freyre, Ricardo;Bolivia;1868;1933
James, Henry;Estados Unidos;1843;1916
Jardiel Poncela, Enrique;España;1901;1952
Jiménez, Juan Ramón;España;1881;1958
Joyce, James;Irlanda;1882;1941
Juan Manuel;España;1282;1348
Kafka, Franz;Checoslovaquia;1883;1924
Kawabata, Yasunari;Japón;1899;1972
Kipling, Rudyard;Inglés;1865;1936
Kleist, Heinrich von;Prusia;1777;1811
La Fayette, Madame de;Francia;1634;1693
La Fontaine, Jean de;Francia;1621;1695
Lagerkvist, Pär;Suecia;1891;1974
Lagerlöf, Selma;Suecia;1858;1940
Lampedusa, Giuseppe Tomasi di;Italia;1896;1957
Lastarria, José Victorino;Chile;1817;1888
Le Fanu, Joseph Sheridan;Irlanda;1814;1873
Le Prince de Beaumont;Francia;1711;1780
Leconte de Lisle, Charles;Francia;1818;1894
Leskov, Nikolái Semënovic;Rusia;1831;1895
Lezama Lima, José;Cuba;1910;1976
Lillo, Baldomero;Chile;1867;1923
Lispector, Clarice;Brasileña;1920;1977
London, Jack;Estados Unidos;1876;1916
López Portillo y Rojas, José;México;1850;1923
López y Fuentes, Gregorio;México;1897;1966
Lorrain, Jean;Francia;1855;1906
Loti, Pierre;Francia;1850;1923
Lovecraft, H. P.;Estados Unidos;1890;1937
Lu Sin;China;1881;1936
Lugones, Leopoldo;Argentina;1874;1938
Lyra, Carmen;Costa Rica;1887;1949
Machado de Assis, J. M.;Brasil;1839;1908
Machen, Arthur;Inglaterra;1863;1947
Mahfuz, Naguib;Egipto;1911;2006
Mallea, Eduardo;Argentina;1903;1982
